milliseconds,paper,gear,position
10051,1,1,197382
10061,1,1,197624
10071,1,1,197840
10081,1,1,198082
10091,1,1,198323
10101,1,1,198567
10112,1,1,198808
10121,1,1,199026
10131,1,1,199268
10141,1,1,199511
10151,1,1,199751
10161,1,1,199967
10171,1,1,200208
10181,1,1,200450
10191,1,1,200692
10201,1,1,200909
10211,1,1,201150
10221,1,1,201393
10231,1,1,201634
10241,1,1,201852
10251,1,1,202092
10261,1,1,202334
10271,1,1,202576
10281,1,1,202818
10291,1,1,203034
10301,1,1,203277
10311,1,1,203518
10321,1,1,203761
10331,1,1,203978
10341,1,1,204220
10351,1,1,204461
10361,1,1,204701
10371,1,1,204919
10381,1,1,205161
10391,1,1,205402
10401,1,1,205644
10411,1,1,205861
10421,1,1,206103
10431,1,1,206345
10441,1,1,206586
10451,1,1,206827
10461,1,1,207045
10471,1,1,207288
10481,1,1,207529
10491,1,1,207771
10501,1,1,207989
10511,1,1,208230
10521,1,1,208470
10531,1,1,208711
10541,1,1,208929
10551,1,1,209172
10561,1,1,209413
10571,1,1,209654
10582,1,1,209895
10591,1,1,210113
10601,1,1,210355
10611,1,1,210596
10621,1,1,210837
10631,1,1,211056
10641,1,1,211298
10651,1,1,211539
10661,1,1,211781
10671,1,1,212000
10681,1,1,212241
10691,1,1,212482
10701,1,1,212722
10711,1,1,212940
10721,1,1,213181
10731,1,1,213423
10741,1,1,213664
10752,1,1,213906
10761,1,1,214124
10771,1,1,214365
10781,1,1,214606
10791,1,1,214848
10801,1,1,215066
10811,1,1,215306
10821,1,1,215549
10831,1,1,215792
10841,1,1,216010
10851,1,1,216252
10861,1,1,216492
10871,1,1,216733
10881,1,1,216950
10891,1,1,217191
10901,1,1,217433
10911,1,1,217675
10921,1,1,217917
10931,1,1,218134
10941,1,1,218374
10951,1,1,218617
10961,1,1,218859
10971,1,1,219076
10981,1,1,219316
10991,1,1,219559
11001,1,1,219801
11011,1,1,220019
11021,1,1,220260
11031,1,1,220502
11041,1,1,220744
11051,1,1,220961
11061,1,1,221201
11071,1,1,221443
11081,1,1,221686
11091,1,1,221926
11101,1,1,222143
11111,1,1,222385
11121,1,1,222628
11131,1,1,222869
11141,1,1,223085
11151,1,1,223327
11161,1,1,223571
11171,1,1,223812
11181,1,1,224029
11191,1,1,224271
11201,1,1,224514
11211,1,1,224754
11222,1,1,224995
11231,1,1,225212
11241,1,1,225453
11251,1,1,225695
11261,1,1,225936
11271,1,1,226154
11281,1,1,226397
11291,1,1,226637
11301,1,1,226879
11311,1,1,227095
11321,1,1,227338
11331,1,1,227579
11341,1,1,227821
11351,1,1,228038
11361,1,1,228281
11371,1,1,228523
11381,1,1,228764
11392,1,1,229005
11401,1,1,229224
11411,1,1,229465
11421,1,1,229706
11431,1,1,229946
11441,1,1,230165
11451,1,1,230406
11461,1,1,230648
11471,1,1,230889
11481,1,1,231107
11491,1,1,231349
11501,1,1,231590
11511,1,1,231830
11521,1,1,232049
11531,1,1,232291
11541,1,1,232533
11551,1,1,232774
11561,1,1,233017
11571,1,1,233234
11581,1,1,233475
