timestamp,position,count,us_per_position
13332640,1166,1,78
13333740,1180,1,74
13334852,1195,1,69
13335964,1211,1,73
13337064,1226,1,73
13338168,1241,1,73
13339268,1256,1,70
13340388,1272,1,70
13341508,1288,1,69
13342620,1304,1,74
13343732,1319,1,69
13344848,1335,1,69
13345960,1351,1,69
13347068,1367,1,70
13348188,1383,1,73
13349292,1398,1,69
13350400,1414,1,73
13351504,1429,1,70
13352624,1445,1,65
13353736,1462,1,73
13354844,1477,1,70
13355964,1493,1,70
13357084,1509,1,69
13358196,1525,1,69
13359304,1541,1,73
13360408,1556,1,69
13361520,1572,1,69
13362628,1588,1,69
13363740,1604,1,69
13364852,1620,1,69
13365960,1636,1,70
13367080,1652,1,69
13368192,1668,1,69
13369300,1684,1,70
13370420,1700,1,65
13371528,1717,1,74
13372640,1732,1,65
13373760,1749,1,69
13374872,1765,1,69
13375980,1781,1,69
13377092,1797,1,69
13378204,1813,1,69
13379316,1829,1,70
13380436,1845,1,70
13381556,1861,1,66
13382680,1878,1,73
13383784,1893,1,70
13384904,1909,1,66
13386036,1926,1,65
13387156,1943,1,73
13388256,1958,1,73
13389360,1973,1,65
13390472,1990,1,70
13391592,2006,1,70
13392712,2022,1,70
13393832,2038,1,70
13394952,2054,1,70
13396072,2070,1,69
13397188,2086,1,70
13398308,2102,1,65
13399428,2119,1,73
13400532,2134,1,69
13401644,2150,1,73
13402744,2165,1,65
13403864,2182,1,69
13404976,2198,1,69
13406088,2214,1,69
13407200,2230,1,69
13408316,2246,1,65
13409436,2263,1,74
13410552,2278,1,66
13411680,2295,1,69
13412792,2311,1,69
13413904,2327,1,69
13415020,2343,1,69
13416132,2359,1,69
13417244,2375,1,74
13418356,2390,1,66
13419484,2407,1,70
13420604,2423,1,69
13421716,2439,1,74
13422828,2454,1,66
13423960,2471,1,69
13425072,2487,1,66
13426196,2504,1,73
13427296,2519,1,66
13428420,2536,1,73
13429520,2551,1,70
13430644,2567,1,69
13431756,2583,1,66
13432880,2600,1,73
13433984,2615,1,70
13435108,2631,1,69
13436220,2647,1,65
13437340,2664,1,69
13438452,2680,1,69
13439564,2696,1,69
13440672,2712,1,70
13441796,2728,1,69
13442904,2744,1,70
13444024,2760,1,69
13445140,2776,1,65
13446260,2793,1,69
13447368,2809,1,69
13448480,2825,1,69
13449588,2841,1,73
13450688,2856,1,69
13451800,2872,1,65
13452920,2889,1,70
13454040,2905,1,70
13455160,2921,1,73
13456260,2936,1,69
13457372,2952,1,66
13458496,2969,1,69
13459608,2985,1,73
13460708,3000,1,69
13461820,3016,1,69
13462928,3032,1,69
13464040,3048,1,69
13465152,3064,1,69
13466264,3080,1,69
13467376,3096,1,70
13468496,3112,1,69
13469604,3128,1,69
13470716,3144,1,70
13471844,3160,1,70
13472968,3176,1,69
13474080,3192,1,65
13475200,3209,1,69
13476312,3225,1,73
13477412,3240,1,65
13478532,3257,1,69
13479644,3273,1,69
13480752,3289,1,70
13481872,3305,1,70
13482992,3321,1,70
13484120,3337,1,69
13485232,3353,1,69
13486344,3369,1,65
13487456,3386,1,73
13488564,3401,1,73
13489668,3416,1,69
13490780,3432,1,65
13491900,3449,1,70
13493020,3465,1,69
13494132,3481,1,69
13495244,3497,1,70
13496372,3513,1,70
13497492,3529,1,66
13498616,3546,1,70
13499736,3562,1,69
13500848,3578,1,73
13501952,3593,1,65
13503072,3610,1,69
13504184,3626,1,70
13505304,3642,1,70
13506424,3658,1,66
13507556,3675,1,70
13508676,3691,1,69
13509788,3707,1,69
13510900,3723,1,69
13512012,3739,1,65
13513132,3756,1,69
13514236,3772,1,70
13515356,3788,1,69
13516472,3804,1,69
13517584,3820,1,74
13518696,3835,1,65
13519816,3852,1,70
13520948,3868,1,70
13522068,3884,1,69
13523180,3900,1,69
13524288,3916,1,69
13525400,3932,1,69
13526512,3948,1,69
13527624,3964,1,69
13528732,3980,1,73
13529836,3995,1,70
13530956,4011,1,65
13532076,4028,1,69
13533192,4044,1,69
13534304,4060,1,74
13535416,4075,1,69
