timestamp,position,count,us_enc,enc/us
3047784,3741,1,-42,-0.023809524
3048968,3713,1,-43,-0.023255814
3050144,3686,1,-42,-0.023809524
3051320,3658,1,-43,-0.023255814
3052488,3631,1,-42,-0.023809524
3053672,3603,1,-43,-0.023255814
3054840,3576,1,-42,-0.023809524
3056024,3548,1,-43,-0.023255814
3057200,3521,1,-43,-0.023255814
3058368,3494,1,-42,-0.023809524
3059552,3466,1,-43,-0.023255814
3060720,3439,1,-43,-0.023255814
3061892,3412,1,-42,-0.023809524
3063068,3384,1,-44,-0.022727273
3064216,3358,1,-42,-0.023809524
3065412,3330,1,-42,-0.023809524
3066588,3302,1,-43,-0.023255814
3067764,3275,1,-42,-0.023809524
3068948,3247,1,-42,-0.023809524
3070124,3219,1,-42,-0.023809524
3071300,3191,1,-42,-0.023809524
3072488,3163,1,-42,-0.023809524
3073664,3135,1,-42,-0.023809524
3074852,3107,1,-43,-0.023255814
3076028,3080,1,-44,-0.022727273
3077188,3054,1,-44,-0.022727273
3078344,3028,1,-45,-0.022222222
3079492,3003,1,-49,-0.020408163
3080620,2980,1,-48,-0.020833333
3081776,2956,1,-52,-0.019230769
3082884,2935,1,-53,-0.018867925
3084004,2914,1,-58,-0.017241379
3085112,2895,1,-64,-0.015625
3086200,2878,1,-64,-0.015625
3087288,2861,1,-72,-0.013888889
3088368,2846,1,-76,-0.013157895
3089440,2832,1,-87,-0.011494253
3090484,2820,1,-94,-0.010638298
3091520,2809,1,-103,-0.009708738
3092552,2799,1,-113,-0.008849558
3093572,2790,1,-131,-0.007633588
3094624,2782,1,-133,-0.007518797
3095688,2774,1,-172,-0.005813953
3096724,2768,1,-174,-0.005747126
3097768,2762,1,-207,-0.004830918
3098804,2757,1,-208,-0.004807692
3099848,2752,1,-208,-0.004807692
3100892,2747,1,-342,-0.002923977
3101920,2744,1,-258,-0.003875969
3102952,2740,1,-341,-0.002932551
3103976,2737,1,-342,-0.002923977
3105004,2734,1,-342,-0.002923977
3106032,2731,1,-341,-0.002932551
3107056,2728,1,-504,-0.001984127
3108064,2726,1,-345,-0.002898551
3109100,2723,1,-504,-0.001984127
3110108,2721,1,-344,-0.002906977
3111140,2718,1,-1000,-0.001
3112140,2717,1,-508,-0.001968504
3113156,2715,1,-1052,-0.00095057
3114208,2714,1,-1008,-0.000992063
3115216,2713,13,-1268,-0.000788644
3116484,2712,8,-1172,-0.000853242
3117656,2711,1,-1068,-0.00093633
3118724,2710,23,-1448,-0.000690608
3120172,2709,34,-1580,-0.000632911
3121752,2708,95,-2656,-0.000376506
3124408,2707,301,-6016,-0.000166223
3130424,2706,130,-3228,-0.000309789
3133652,2705,25,-1540,-0.000649351
3135192,2704,2,-1152,-0.000868056
3136344,2703,1,-1096,-0.000912409
3137440,2702,1,-1040,-0.000961538
3138480,2701,1,-1052,-0.00095057
3139532,2700,165025,-10000,-0.0001
5850024,2699,40,-720,-0.001388889
5850744,2698,1,-224,-0.004464286
5852088,2692,1,-158,-0.006329114
5853200,2685,1,-133,-0.007518797
5854264,2677,1,-118,-0.008474576
5855328,2668,1,-118,-0.008474576
5856392,2659,1,-118,-0.008474576
5857456,2650,1,-118,-0.008474576
5858524,2641,1,-99,-0.01010101
5859616,2630,1,-84,-0.011904762
5860716,2617,1,-75,-0.013333333
5861768,2603,1,-67,-0.014925373
5862848,2587,1,-63,-0.015873016
5863924,2570,1,-57,-0.01754386
5865016,2551,1,-58,-0.017241379
5866124,2532,1,-55,-0.018181818
5867232,2512,1,-53,-0.018867925
5868352,2491,1,-51,-0.019607843
5869480,2469,1,-52,-0.019230769
5870624,2447,1,-49,-0.020408163
5871752,2424,1,-49,-0.020408163
5872888,2401,1,-47,-0.021276596
5874024,2377,1,-46,-0.02173913
5875196,2352,1,-45,-0.022222222
5876344,2327,1,-48,-0.020833333
5877500,2303,1,-44,-0.022727273
5878668,2277,1,-45,-0.022222222
5879844,2251,1,-43,-0.023255814
5881012,2224,1,-45,-0.022222222
5882160,2199,1,-43,-0.023255814
5883328,2172,1,-42,-0.023809524
5884476,2145,1,-44,-0.022727273
5885668,2118,1,-43,-0.023255814
5886848,2091,1,-43,-0.023255814
5888028,2064,1,-43,-0.023255814
5889196,2037,1,-43,-0.023255814
5890364,2010,1,-43,-0.023255814
5891532,1983,1,-43,-0.023255814
5892704,1956,1,-42,-0.023809524
5893880,1928,1,-43,-0.023255814
5895056,1901,1,-43,-0.023255814
5896232,1874,1,-42,-0.023809524
5897408,1846,1,-41,-0.024390244
5898576,1818,1,-43,-0.023255814
5899752,1791,1,-42,-0.023809524
5900936,1763,1,-42,-0.023809524
5902120,1735,1,-43,-0.023255814
5903296,1708,1,-42,-0.023809524
5904476,1680,1,-43,-0.023255814
5905644,1653,1,-43,-0.023255814
5906808,1626,1,-42,-0.023809524
5907992,1598,1,-42,-0.023809524
5909176,1570,1,-43,-0.023255814
5910352,1543,1,-42,-0.023809524
5911528,1515,1,-44,-0.022727273
5912692,1489,1,-42,-0.023809524
5913868,1461,1,-43,-0.023255814
5915044,1434,1,-42,-0.023809524
5916228,1406,1,-42,-0.023809524
5917412,1378,1,-43,-0.023255814
5918580,1351,1,-42,-0.023809524
5919772,1323,1,-43,-0.023255814
5920940,1296,1,-43,-0.023255814
5922108,1269,1,-44,-0.022727273
5923272,1243,1,-44,-0.022727273
5924436,1217,1,-45,-0.022222222
5925576,1192,1,-50,-0.02
5926728,1169,1,-48,-0.020833333
5927848,1146,1,-56,-0.017857143
5928976,1126,1,-53,-0.018867925
5930100,1105,1,-60,-0.016666667
5931192,1087,1,-64,-0.015625
5932280,1070,1,-67,-0.014925373
5933364,1054,1,-75,-0.013333333
5934416,1040,1,-81,-0.012345679
5935476,1027,1,-86,-0.011627907
5936516,1015,1,-94,-0.010638298
5937556,1004,1,-113,-0.008849558
5938580,995,1,-113,-0.008849558
5939600,986,1,-133,-0.007518797
5940664,978,1,-167,-0.005988024
5941668,972,1,-165,-0.006060606
5942660,966,1,-197,-0.005076142
5943648,961,1,-197,-0.005076142
5944636,956,1,-198,-0.005050505
5945628,951,1,-245,-0.004081633
5946608,947,1,-247,-0.004048583
5947596,943,1,-321,-0.003115265
5948560,940,1,-324,-0.00308642
5949532,937,1,-324,-0.00308642
5950504,934,1,-321,-0.003115265
5951468,931,1,-480,-0.002083333
5952428,929,1,-324,-0.00308642
5953400,926,1,-482,-0.002074689
5954364,924,1,-480,-0.002083333
5955324,922,1,-480,-0.002083333
5956284,920,1,-480,-0.002083333
5957244,918,1,-482,-0.002074689
5958208,916,1,-948,-0.001054852
5959156,915,1,-952,-0.00105042
5960108,914,11,-1152,-0.000868056
5961260,913,7,-1040,-0.000961538
5962300,912,1,-1024,-0.000976563
5963324,911,1,-1008,-0.000992063
5964332,910,24,-1412,-0.000708215
5965744,909,118,-2924,-0.000341997
5968668,908,454,-8480,-0.000117925
5977148,907,118,-3032,-0.000329815
5980180,906,40,-1736,-0.000576037
5981916,905,1,-1080,-0.000925926
5982996,904,1,-1040,-0.000961538
5984036,903,1,-508,-0.001968504
5985052,901,1,-1008,-0.000992063
5986060,900,146931,10000,0.0001
8399220,901,12,252,0.003968254
8399472,902,1,81,0.012345679
8400860,919,1,91,0.010989011
8401956,931,1,117,0.008547009
8402892,939,1,89,0.011235955
8403880,950,1,139,0.007194245
8404856,957,1,134,0.007462687
8405796,964,1,162,0.00617284
8406768,970,1,192,0.005208333
8407732,975,1,241,0.004149378
8408696,979,1,192,0.005208333
8409660,984,1,239,0.0041841
8410616,988,1,192,0.005208333
8411580,993,1,192,0.005208333
8412544,998,1,140,0.007142857
8413528,1005,1,125,0.008
8414528,1013,1,110,0.009090909
8415520,1022,1,116,0.00862069
8416568,1031,1,96,0.010416667
8417624,1042,1,96,0.010416667
8418684,1053,1,92,0.010869565
8419696,1064,1,92,0.010869565
8420708,1075,1,78,0.012820513
8421732,1088,1,86,0.011627907
8422764,1100,1,75,0.013333333
8423816,1114,1,74,0.013513514
8424860,1128,1,79,0.012658228
8425888,1141,1,79,0.012658228
8426924,1154,1,74,0.013513514
8427968,1168,1,74,0.013513514
8429008,1182,1,74,0.013513514
8430044,1196,1,74,0.013513514
8431088,1210,1,69,0.014492754
8432132,1225,1,76,0.013157895
8433196,1239,1,73,0.01369863
8434220,1253,1,75,0.013333333
8435272,1267,1,73,0.01369863
8436296,1281,1,74,0.013513514
8437332,1295,1,69,0.014492754
8438376,1310,1,73,0.01369863
8439408,1324,1,74,0.013513514
8440452,1338,1,70,0.014285714
8441504,1353,1,69,0.014492754
8442552,1368,1,67,0.014925373
8443624,1384,1,74,0.013513514
8444660,1398,1,66,0.015151515
8445728,1414,1,69,0.014492754
8446772,1429,1,70,0.014285714
8447828,1444,1,70,0.014285714
8448880,1459,1,70,0.014285714
8449932,1474,1,70,0.014285714
8450984,1489,1,67,0.014925373
8452056,1505,1,69,0.014492754
8453096,1520,1,74,0.013513514
8454140,1534,1,67,0.014925373
8455212,1550,1,73,0.01369863
8456240,1564,1,69,0.014492754
8457284,1579,1,69,0.014492754
8458328,1594,1,65,0.015384615
8459380,1610,1,69,0.014492754
8460420,1625,1,74,0.013513514
8461464,1639,1,69,0.014492754
8462504,1654,1,65,0.015384615
8463548,1670,1,70,0.014285714
8464608,1685,1,70,0.014285714
8465660,1700,1,70,0.014285714
8466712,1715,1,69,0.014492754
8467760,1730,1,70,0.014285714
8468812,1745,1,70,0.014285714
8469868,1760,1,70,0.014285714
8470920,1775,1,69,0.014492754
8471956,1790,1,70,0.014285714
8473016,1805,1,73,0.01369863
8474040,1819,1,69,0.014492754
